ID,EHR_kood,TaisAadress,Maakond,KOV,KOV_voi_LinnaOsa,Tänav_Hoone_Nr,Esmane_Kasutuselevotu_Aasta,Ajastu,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Maksimaalne_Korruste_Arv,Korterite arv trepikojas,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis
26,108012208,"Lääne-Viru maakond, Rakvere linn, Mulla tn 3",Lääne-Viru maakond, Rakvere linn, Rakvere linn, Mulla tn 3,1992,1991-2000,65,70,290,5,2.6,0,5,1,15.8,16.0,12.5,75.7,993.5,4478.5,1025.5,4186.0,väikepaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,B,1735.0,522.0
117,113020703,"Võru maakond, Võru linn, F. R. Kreutzwaldi tn 54a",Võru maakond, Võru linn, Võru linn, F. R. Kreutzwaldi tn 54a,1968,1961-1970,70,70,295,5,2.8,0,5,0,11.9,12.0,11.9,81.1,985.7,4046.2,88.2,3555.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,1747.0,689.0
92,101012871,"Harju maakond, Tallinn, Mustamäe linnaosa, J. Sütiste tee 39",Harju maakond, Tallinn, Mustamäe linnaosa, J. Sütiste tee 39,1972,1971-1980,72,70,323,9,4.0,2,2,1,26.0,26.0,,,593.0,5026.8,1092.8,4364.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,1,1.0,C,2141.0,753.2
355,101013333,"Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 43",Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 43,1979,1971-1980,72,70,306,9,4.0,2,2,1,26.5,26.5,,,596.0,4825.7,985.7,4258.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,1,0.0,C,3141.0,663.5
203,101020188,"Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 3",Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 3,1977,1971-1980,72,70,306,9,4.0,2,2,1,26.6,26.5,,,595.0,4837.2,990.5,4281.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,1,0.0,C,3609.0,589.8
200,101020580,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 34",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Sõle tn 34,1973,1971-1980,72,70,306,9,4.0,2,2,1,26.5,26.5,,,572.0,4712.6,942.8,4375.0,suurpaneel,8,4,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,C,2207.0,645.0
270,101020816,"Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 6",Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 6,1974,1971-1980,72,70,306,9,4.0,2,2,1,28.7,28.5,,,580.0,4653.7,984.5,3864.4,suurpaneel,8,4,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,C,2086.4,771.6
278,110009969,"Põlva maakond, Põlva vald, Põlva linn, Pihlaka tn 10",Põlva maakond, Põlva vald, Põlva linn, Pihlaka tn 10,1984,1981-1990,75,80,340,5,3.0,0,5,1,16.0,16.0,12.0,94.0,1136.0,5271.5,1045.9,4225.6,väikepaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,D,2273.0,793.0
300,110009972,"Põlva maakond, Põlva vald, Põlva linn, Pihlaka tn 11",Põlva maakond, Põlva vald, Põlva linn, Pihlaka tn 11,1986,1981-1990,75,80,340,5,3.0,0,5,1,16.2,16.0,12.3,93.9,1172.0,5449.8,1072.6,4254.8,väikepaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,C,2426.4,792.1
377,112017100,"Viljandi maakond, Viljandi linn, Riia mnt 55",Viljandi maakond, Viljandi linn, Viljandi linn, Riia mnt 55,1990,1981-1990,75,80,328,10,3.75,2,2,1,31.7,31.5,17.5,53.5,804.7,5641.0,885.3,5095.0,tellis,12,8,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1.0,B,2428.0,697.0
267,104017974,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 30",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 30,1988,1981-1990,79,80,359,5,2.257142857142857,0,7,1,16.1,16.0,13.6,118.0,1569.0,6999.2,1581.0,5996.6,tellis,30,26,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1.0,A,3786.8,825.1
303,104030892,"Tartu maakond, Tartu linn, Tartu linn, Pikk tn 52",Tartu maakond, Tartu linn, Tartu linn, Pikk tn 52,1965,1961-1970,80,80,339,5,4.0,0,4,1,16.1,16.0,11.1,81.0,880.0,4198.2,207.0,3636.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','lokaalküte',0,1,0,0,0,1.0,F,1781.1999999999998,911.1
272,106006902,"Saare maakond, Saaremaa vald, Kuressaare linn, J. Smuuli tn 7",Saare maakond, Saaremaa vald, Kuressaare linn, J. Smuuli tn 7,1972,1971-1980,85,90,354,5,2.4285714285714284,0,7,1,17.0,17.0,11.2,97.1,1156.0,4806.8,742.7,4111.0,suurplokk,4,0,'plekk','kaugküte',0,1,0,0,1,0.0,C,1971.0,735.4
178,103014102,"Pärnu maakond, Pärnu linn, Pärnu linn, A. H. Tammsaare pst 28",Pärnu maakond, Pärnu linn, Pärnu linn, A. H. Tammsaare pst 28,1970,1961-1970,85,90,354,5,2.8333333333333335,0,6,1,17.0,17.0,,,1118.0,4933.1,688.8,4337.0,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,0.0,C,2218.0,906.0
269,103031188,"Pärnu maakond, Pärnu linn, Pärnu linn, A. H. Tammsaare pst 26",Pärnu maakond, Pärnu linn, Pärnu linn, A. H. Tammsaare pst 26,1970,1961-1970,85,90,356,5,2.8333333333333335,0,6,1,17.0,17.0,,,1130.0,4864.3,874.0,4588.0,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,1.0,C,2304.0,889.0
166,104017203,"Tartu maakond, Tartu linn, Tartu linn, Pikk tn 82",Tartu maakond, Tartu linn, Tartu linn, Pikk tn 82,1977,1971-1980,85,90,355,5,2.8333333333333335,0,6,1,18.7,18.5,,,1076.0,5357.2,1533.0,4139.2,tellis,15,11,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,D,2791.0,872.0
191,104017291,"Tartu maakond, Tartu linn, Tartu linn, Uus tn 67",Tartu maakond, Tartu linn, Tartu linn, Uus tn 67,1970,1961-1970,85,90,271,5,2.8333333333333335,0,6,1,16.5,16.5,,,1059.0,5099.4,326.9,4279.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,1314.2,885.2
304,112016510,"Viljandi maakond, Viljandi linn, Suur-Kaare tn 39",Viljandi maakond, Viljandi linn, Viljandi linn, Suur-Kaare tn 39,1969,1961-1970,85,90,354,5,2.8333333333333335,0,6,1,16.9,17.0,,,1075.0,4774.5,660.7,4010.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,B,2361.2,842.2
363,112016591,"Viljandi maakond, Viljandi linn, Suur-Kaare tn 41",Viljandi maakond, Viljandi linn, Viljandi linn, Suur-Kaare tn 41,1970,1961-1970,85,90,354,5,2.8333333333333335,0,6,1,16.8,17.0,,,1062.0,4800.2,876.3,4345.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,0,1,0.0,D,2165.0,800.0
284,112016895,"Viljandi maakond, Viljandi linn, Suur-Kaare tn 55",Viljandi maakond, Viljandi linn, Viljandi linn, Suur-Kaare tn 55,1975,1971-1980,85,90,355,5,2.8333333333333335,0,6,1,15.4,15.5,12.7,98.2,1077.0,4763.1,641.8,4223.5,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,2200.0,722.0
367,101011132,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 173",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 173,1971,1971-1980,88,90,376,5,2.9333333333333336,0,6,1,15.6,15.5,11.7,92.3,1102.0,5676.4,1323.8,4838.3,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,0,1,0.0,C,2016.6,747.9
176,101012269,"Harju maakond, Tallinn, Mustamäe linnaosa, Retke tee 26",Harju maakond, Tallinn, Mustamäe linnaosa, Retke tee 26,1970,1961-1970,89,90,377,5,2.966666666666667,0,6,1,18.0,18.0,12.2,92.3,1121.8,5662.1,1259.8,4632.0,suurpaneel,4,0,'plekk',"'kaugküte', 'lokaalküte'",0,1,0,0,1,1.0,C,2371.0,724.0
197,101017121,"Harju maakond, Tallinn, Mustamäe linnaosa, Vaablase tn 1",Harju maakond, Tallinn, Mustamäe linnaosa, Vaablase tn 1,1970,1961-1970,89,90,378,5,2.966666666666667,0,6,1,17.6,17.5,14.2,92.0,1093.0,5674.4,1325.7,4761.0,suurpaneel,4,0,'katusekivi','kaugküte',0,1,0,0,1,0.0,B,1760.0,778.0
54,101018842,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 212",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 212,1968,1961-1970,89,90,396,5,2.966666666666667,0,6,1,14.8,15.0,12.2,92.1,1153.3,5690.6,1286.1,5690.6,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,C,1966.4,699.2
285,101010587,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 142",Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 142,1965,1961-1970,90,90,401,5,3.0,0,6,1,15.6,15.5,,,1085.0,5673.8,1301.4,4793.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,1.0,C,2399.0,788.5
10,101010763,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 127",Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 127,1967,1961-1970,90,90,400,5,3.0,0,6,1,15.4,15.5,,,1086.0,5669.0,1317.1999999999998,4642.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,D,2780.0,764.0
113,101010967,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 246",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 246,1966,1961-1970,90,90,398,5,3.0,0,6,1,15.5,15.5,12.2,92.3,1145.0,5660.0,1312.1,4658.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal',"'lokaalküte', 'kaugküte'",1,0,0,0,1,1.0,C,1712.0,813.5999999999999
382,101013452,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 80",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 80,1966,1961-1970,90,90,398,5,3.0,0,6,1,15.6,15.5,,,1083.0,5685.5,1322.9,4797.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,C,2207.0,671.0
352,104025977,"Tartu maakond, Kambja vald, Räni alevik, Kogre tee 4",Tartu maakond, Kambja vald, Räni alevik, Kogre tee 4,1975,1971-1980,90,90,360,5,3.0,0,6,1,15.5,15.5,,,1140.0,5894.3,1347.8,4754.3,suurpaneel,16,12,'bituumen või  PVC  plaat või rullmaterjal','kohtküte',1,0,0,1,0,1.0,B,2408.0,706.0
20,110009774,"Põlva maakond, Põlva vald, Põlva linn, Uus tn 9",Põlva maakond, Põlva vald, Põlva linn, Uus tn 9,1970,1961-1970,90,90,360,5,3.0,0,6,1,16.1,16.0,,,1141.0,5206.0,949.3,4314.8,suurplokk,14,10,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,3638.0,768.7
205,110009948,"Põlva maakond, Põlva vald, Põlva linn, Kesk tn 40",Põlva maakond, Põlva vald, Põlva linn, Kesk tn 40,1976,1971-1980,90,90,410,5,3.0,0,6,1,16.0,16.0,12.0,113.0,1452.0,6384.6,1132.0,5109.0,väikepaneel,4,0,"'muu', 'bituumen või  PVC  plaat või rullmaterjal'",'kaugküte',1,0,0,1,0,0.0,C,2986.4,933.6
237,108003158,"Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 3",Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 3,1983,1981-1990,95,100,471,5,2.375,0,8,1,16.9,17.0,57.7,100.6,1844.0,7370.6,1466.5,6656.0,tellis,10,6,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1.0,B,3483.0,1229.0
311,104024984,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 8",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 8,1973,1971-1980,95,100,408,5,2.7142857142857144,0,7,1,16.5,16.5,31.3,114.2,1355.0,5848.4,1310.5,4993.0,suurplokk,16,12,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,1459.8,1611.0
332,104017504,"Tartu maakond, Tartu linn, Tartu linn, Sõpruse pst 8",Tartu maakond, Tartu linn, Tartu linn, Sõpruse pst 8,1973,1971-1980,110,110,468,5,2.75,0,8,1,17.8,18.0,,,1433.0,7350.0,462.8,5736.0,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,1.0,C,2345.3999999999996,1328.8
140,104017430,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 32",Tartu maakond, Tartu linn, Tartu linn, Anne tn 32,1971,1971-1980,115,120,475,5,2.875,0,8,1,17.8,18.0,11.7,129.4,1550.0,6678.2,1489.4,5462.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,C,2613.0,1183.0
151,104017434,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 12",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 12,1972,1971-1980,115,120,474,5,2.875,0,8,1,16.5,16.5,11.7,129.6,1441.0,6703.9,418.1,5615.0,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,C,2264.8,1236.7
370,104017432,"Tartu maakond, Tartu linn, Tartu linn, Kalda tee 4",Tartu maakond, Tartu linn, Tartu linn, Kalda tee 4,1971,1971-1980,119,120,510,5,2.975,0,8,1,15.6,15.5,,,1421.0,7416.9,1707.1,6219.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0.0,B,2907.5,902.8
155,101020532,"Harju maakond, Tallinn, Kristiine linnaosa, Rivi tn 4",Harju maakond, Tallinn, Kristiine linnaosa, Rivi tn 4,1984,1981-1990,120,120,365,5,12.0,0,2,1,18.2,18.0,16.0,79.5,1458.0,6197.9,1898.7,5021.0,tellis,28,24,'bituumen või  PVC  plaat või rullmaterjal',"'kaugküte', 'kohtküte'",0,1,0,1,0,1.0,D,2047.4,801.4
271,101021129,"Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 8",Harju maakond, Tallinn, Kristiine linnaosa, Kirsi tn 8,1974,1971-1980,143,140,609,9,3.9722222222222223,4,4,1,29.4,29.5,,,1178.0,9354.9,1871.6,8193.6,suurpaneel,12,8,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,0,0.0,C,4023.7,1477.3
194,101027441,"Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 78",Harju maakond, Tallinn, Haabersti linnaosa, Õismäe tee 78,1975,1971-1980,144,140,612,9,4.0,4,4,1,29.4,29.5,,,1187.0,9540.4,1858.8,8680.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,0.0,E,0.0,0.0
148,104017436,"Tartu maakond, Tartu linn, Tartu linn, Anne tn 59",Tartu maakond, Tartu linn, Tartu linn, Anne tn 59,1972,1971-1980,144,140,649,9,4.0,4,4,1,26.8,27.0,,,1139.0,9633.3,1186.7,8024.0,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,1,1,1.0,C,0.0,0.0
276,101010583,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131",Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 131,1972,1971-1980,162,160,756,9,3.6,5,5,0,32.4,32.5,,,1534.0,11304.8,1747.5,12298.4,tellis,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1.0,C,5147.0,2384.6000000000004
281,101042029,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paagi tn 10",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Paagi tn 10,1972,1971-1980,264,260,282,7,18.857142857142858,2,2,1,24.9,25.0,,,1399.2,8853.6,2351.8,8853.6,suurpaneel,32,28,'bituumen või  PVC  plaat või rullmaterjal','lokaalküte',1,0,0,1,0,1.0,D,3635.0,872.5999999999999
